,Date,Original,Corpus,Class
0,2001-09-17,immediate release federal open market committee decided today lower target federal funds rate  basis points  percent,immediate release federal open market committee decide today low target federal fund rate basis point percent,0
1,2001-09-17,related action board governors approved  basis point reduction discount rate   percent,related action board governor approve basis point reduction discount rate percent,0
2,2001-09-17,federal reserve continue supply unusually large volumes liquidity financial markets needed normal market functioning restored,federal reserve continue supply unusually large volume liquidity financial market need normal market function restore,0
3,2001-09-17,consequence fomc recognizes actual federal funds rate may target occasion unusual circumstances,consequence fomc recognizes actual federal fund rate may target occasion unusual circumstance,0
4,2001-09-17,even tragic events last week employment production business spending remained weak last week events potential damp spending further,even tragic event last week employment production business spending remain weak last week event potential damp spending far,0
5,2001-09-17,nonetheless long term prospects productivity growth economy remain favorable become evident unusual forces restraining demand abate,nonetheless long term prospect productivity growth economy remain favorable become evident unusual force restrain demand abate,0
6,2001-09-17,foreseeable future committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness,foreseeable future committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness,0
7,2001-09-17,taking discount rate action federal reserve board approved requests submitted boards directors federal reserve banks richmond chicago minneapolis dallas san francisco,take discount rate action federal reserve board approve request submit board director federal reserve bank richmond chicago minneapolis dallas san francisco,0
8,2001-09-17, monetary policy home  news events accessibility last update september  ,monetary policy home news event accessibility last update september,0
9,2001-09-17,immediate release federal open market committee decided today lower target federal funds rate  basis points  percent,immediate release federal open market committee decide today low target federal fund rate basis point percent,0
10,2001-09-17,related action board governors approved  basis point reduction discount rate   percent,related action board governor approve basis point reduction discount rate percent,0
11,2001-09-17,federal reserve continue supply unusually large volumes liquidity financial markets needed normal market functioning restored,federal reserve continue supply unusually large volume liquidity financial market need normal market function restore,0
12,2001-09-17,consequence fomc recognizes actual federal funds rate may target occasion unusual circumstances,consequence fomc recognizes actual federal fund rate may target occasion unusual circumstance,0
13,2001-09-17,even tragic events last week employment production business spending remained weak last week events potential damp spending further,even tragic event last week employment production business spending remain weak last week event potential damp spending far,0
14,2001-09-17,nonetheless long term prospects productivity growth economy remain favorable become evident unusual forces restraining demand abate,nonetheless long term prospect productivity growth economy remain favorable become evident unusual force restrain demand abate,0
15,2001-09-17,foreseeable future committee continues believe background long run goals price stability sustainable economic growth information currently available risks weighted mainly toward conditions may generate economic weakness,foreseeable future committee continue believe background long run goal price stability sustainable economic growth information currently available risk weight mainly toward condition may generate economic weakness,0
16,2001-09-17,taking discount rate action federal reserve board approved requests submitted boards directors federal reserve banks richmond chicago minneapolis dallas san francisco,take discount rate action federal reserve board approve request submit board director federal reserve bank richmond chicago minneapolis dallas san francisco,0
